isbn	douban_id	blog_link	title_zh	subtitle_zh	title	author	publisher	published_date	pages	purchasing_date	begin_reading_date	finish_reading_date	douban_rating	rating	auto_update	updated_date
9787101127867	27112664	NA	论语译注	简体字本	NA	杨伯峻 译注	中华书局	2017-9-1	298	2018-02-23	NA	NA	NA	NA	1	2019-01-31
9787533948108	27006467	NA	浮生六记	独家全译全注插图珍藏版	NA	沈复	浙江文艺出版社	2017-4	323	2018-02-23	NA	NA	8.1	NA	1	2019-01-31
9787101113990	26755624	NA	论自由	中英双语本	NA	[英]约翰·斯图亚特·密尔	中华书局	2016-1	290	2018-02-23	NA	NA	8.9	NA	1	2019-01-31
9787512017870	26363137	NA	曾国藩 • 曾文正公家书(上下，全1305封，附家训2卷)	NA	NA	曾国藩	线装书局	2015-5-1	851	2018-02-23	NA	NA	9.1	NA	1	2019-01-31
9787553415253	23155678	NA	1984	NA	NA	[英] 乔治·奥威尔	吉林出版集团有限责任公司	2013-5	274	2018-02-23	NA	NA	9.2	NA	1	2019-01-31
9787111447405	25805533	NA	中国航空故事	NA	NA	刘德生	机械工业出版社	2014-1-1	192	2017-11-15	2017-11-16	2017-11-16	NA	6	1	2019-01-31
9789862137192	26847432	NA	為了活下去：脫北女孩朴研美	脫北女孩朴研美	In Order to Live: A North Korean Girl’s Journey to Freedom	朴研美	大塊文化	2016-7	320	2017-09-28	2017-12-03	2017-12-31	8.1	9	1	2019-01-31
9789882194199	6732178	NA	不二	NA	NA	馮唐	天地圖書有限公司	NA	328	2017-08-28	NA	NA	NA	NA	0	2018-10-16
9787213048425	3155180	NA	荒野生存	NA	Into the WIld	[美]乔恩·克拉考尔 / Jon Krauer	中国人民大学出版社	2008-07	196	2017-07-31	NA	NA	8.7	NA	1	2019-01-31
9780385486804	1372067	NA	Into the Wild	NA	NA	Jon Krakauer	Anchor	1997-01-20	224	2017-07-30	NA	NA	8.9	NA	1	2019-01-31
9787020118083	26821460	NA	朱雀	NA	NA	葛亮	人民文学出版社	2016-10	380	2017-06-12	NA	NA	6.8	NA	1	2019-01-31
9789869316743	26956107	NA	一把青 創作劇本	NA	NA	原著白先勇 / 導演曹瑞原 / 劇本黃世鳴	水靈文創有限公司	2016-9	NA	2017-06-08	NA	NA	9.5	NA	1	2019-01-31
9787503194160	26878557	NA	孤独星球 Lonely Planet 西藏 IN系列（2016年版）	NA	NA	澳大利亚LonelyPlanet公司	中国地图出版社	2016-8-1	424	2017-06-01	NA	NA	8.4	NA	1	2019-01-31
9787535678096	26848051	NA	造房子	NA	NA	王澍	浦睿文化/湖南美术出版社	2016-8	276	2017-06-01	NA	NA	8.4	NA	1	2019-01-31
9787510842252	26747208	NA	优秀的绵羊	NA	Excellent Sheep	[美] 威廉·德雷谢维奇	九州出版社	2016-4	232	2017-06-01	NA	NA	8	NA	1	2019-01-31
9787020118076	26821461	NA	北鸢	NA	NA	葛亮	人民文学出版社	2016-10-1	490	2017-06-01	NA	NA	7.9	NA	1	2019-01-31
9787208130500	26425831	NA	斯通纳	NA	Stoner	[美] 约翰·威廉斯	世纪文景/上海人民出版社	2016-1	336	2017-06-01	NA	NA	8.8	NA	1	2019-01-31
9787550263802	26666533	NA	梵高手稿	梵高书信、画作、珍贵手稿	Van Gogh’s Letters：The Mind of the Artist in Paintings, Drawings, and Words,1875-1890	[荷] 文森特·梵高 / [美] H. 安娜·苏 / 编	北京联合出版公司	2015-12	416	2017-06-01	NA	NA	9.4	NA	1	2019-01-31
9787540465018	25843173	NA	恰到好处的幸福	NA	NA	毕淑敏	湖南文艺出版社	2014-3	256	2017-06-01	NA	NA	6.6	NA	1	2019-01-31
9787540465025	25843171	NA	温柔就是能够对抗世间所有的坚硬	NA	NA	毕淑敏	湖南文艺出版社	2014-3	256	2017-06-01	NA	NA	7.3	NA	1	2019-01-31
9787540465001	25843172	NA	人生终要有一场触及灵魂的旅行	NA	NA	毕淑敏	湖南文艺出版社	2014-2-1	304	2017-06-01	NA	NA	6.5	NA	1	2019-01-31
9787550270206	26848740	NA	认识电影：全彩插图第12版	NA	Understanding Movies, 12e	[美] 路易斯·贾内梯	北京联合出版公司·后浪出版公司	2016-9	584	2016-12-30	NA	NA	9.2	NA	1	2019-01-31
9787535488473	26802388	NA	自在独行	贾平凹的独行世界	NA	贾平凹	长江文艺出版社	2016-7-1	320	2016-11-07	NA	NA	7.3	NA	1	2019-01-31
9787213067792	26576861	NA	最好的告别	关于衰老与死亡，你必须知道的常识	Being Mortal: Medicine and What Matters in the End	[美] 阿图·葛文德	浙江人民出版社	2015-7-31	248	2016-11-05	2017-11-01	NA	9	NA	1	2019-01-31
9787510835865	26362908	NA	女神一号	NA	NA	冯唐	九州出版社	2015-5	216	2016-11-05	NA	NA	6.2	NA	1	2019-01-31
9787550248083	26364209	NA	那些古怪又让人忧心的问题	前NASA成员、美国最火科普博客xkcd幽默问答集	What If ?: Serious Scientific Answers to Absurd Hypothetical Questions	[美] 兰道尔·门罗	北京联合出版公司	2015-5	304	2016-11-05	NA	NA	8	6	1	2019-01-31
9787222137370	26674343	NA	容忍与自由	NA	NA	胡适	云南人民出版社	2015-10-1	216	2016-11-05	2019-04-07	2019-05-19	8.6	9	1	2019-01-31
9787535673800	26639786	NA	舍得，舍不得	带着《金刚经》旅行	NA	蒋勋	湖南美术出版社	2015-10	256	2016-11-05	NA	NA	8	NA	1	2019-01-31
9787508641270	24863307	NA	那时 · 西藏	中国国家地理	NA	徐家树	中信出版社	2013-8	228	2016-11-05	NA	NA	7.9	NA	1	2019-01-31
9787802363588	3990022	NA	美国纽约摄影学院摄影教材（上册）	最新修订版	NA	美国纽约摄影学院	中国摄影出版社	2010-8	609	2016-11-05	NA	NA	9.2	NA	1	2019-01-31
9787802363595	3990023	NA	美国纽约摄影学院摄影教材（下册）	最新修订版	NA	美国纽约摄影学院	中国摄影出版社	2010-8	1234	2016-11-05	NA	NA	9	NA	1	2019-01-31
9787511361462	26904500	NA	月亮和六便士	NA	The Moon And Sixpence	[英] 威廉·萨默塞特·毛姆	中国华侨出版社	2016-9	320	2016-11-02	NA	NA	8.5	NA	1	2019-01-31
9787508664347	26831788	NA	旅行与读书	NA	NA	詹宏志	中信出版集团	2016-9	404	2016-11-02	NA	NA	7.8	NA	1	2019-01-31
9787508663616	26850526	NA	追时间的人	信息过载时代的知识解决方案	NA	阳志平 / 刘建鸿 / 吴宝沛 / 周亮 / 程乐华 / 陈虎平 / 赵昱鲲 / 卢立 / 王崇巍 / 陈忻 / 解慧超 / 安替 / 王佩 / 魏坤琳 / 戴俊毅	中信出版社	2016-8-26	485	2016-11-02	NA	NA	7.7	NA	1	2019-01-31
9787508657677	26683648	NA	民主的不满	美国在寻求一种公共哲学	Democracy's Discontent: America in Search of a Public Philos	[美] 迈克尔·桑德尔	中信出版社	2016-8	544	2016-11-02	NA	NA	8.3	NA	1	2019-01-31
9787550278257	26801831	NA	在宇宙间不易被风吹散	NA	NA	冯唐	北京联合出版公司	2016-6-1	237	2016-11-02	2018-02-03	2018-02-03	7.3	8	1	2019-01-31
9787302399506	26662833	NA	手机摄影大全	轻松拍出大片味儿	罗磊	罗磊 / 柏松	清华大学出版社	2015-8-1	218	2016-11-02	NA	NA	5.5	NA	1	2019-01-31
9787539957173	25829693	NA	永恒的终结	关于时间旅行的终极奥秘和恢宏构想	The End of Eternity	[美] 艾萨克·阿西莫夫	江苏文艺出版社	2014-9-1	264	2016-11-02	NA	NA	9	NA	1	2019-01-31
9787201088945	25829693	NA	永恒的终结	关于时间旅行的终极奥秘和恢宏构想	The End of Eternity	[美] 艾萨克·阿西莫夫	江苏文艺出版社	2014-9-1	264	2016-11-02	NA	NA	9	NA	1	2019-01-31
9787542631664	4238362	NA	送你一颗子弹	NA	NA	刘瑜	上海三联书店	2010-1	339	2016-11-02	NA	NA	8.6	NA	1	2019-01-31
9787208061644	1770782	NA	追风筝的人	NA	The Kite Runner	[美] 卡勒德·胡赛尼	上海人民出版社	2006-5	362	2016-11-02	NA	NA	8.9	NA	1	2019-01-31
9787100040945	1013208	/cn/2019/02/how-to-read-a-book	如何阅读一本书	NA	How to Read a Book	[美] 莫提默·J. 艾德勒 / 查尔斯·范多伦	商务印书馆	2004-1	376	2016-11-02	2018-11-21	2019-02-07	8.4	8	1	2019-01-31
9789863426677	26931905	NA	终极算法	机器学习和人工智能如何重塑世界	The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World	[美] 佩德罗·多明戈斯	中信出版集团	2017-1-1	402	2016-09-12	NA	NA	7.2	NA	1	2019-01-31
